Info,Envision,R15.7.2
Info,ProgramName,VK76BBAtp01FS
Info,TimeStamp,Wed Feb 2 15:06:25 2022
Info,Device,MAX20830A_VK76B-0B
Info,LotID,1234
Info,SubLotID,
Info,TesterName,ltxcx002
Info,TesterType,Fusion_CX
Info,Operator,edcarlos
Info,FabID,
Info,Flow,PST_BUMP
Info,AdapterBoard,Vk76_Octal_FS_01
,,
,,
Test#,Minimum,Unit,Maximum,Unit,Test Description
1000010,,,,,X_coordinate
1000020,,,,,Y_coordinate
1000030,,,,,Wafer_ID
1000040,,,,,Lot_ID
1001010,-400,mV,100,mV,T001.AVDD_(Opens)
1001050,-711,mV,100,mV,T001.SNSP_(Opens)
1001020,-607,mV,100,mV,T001.SNSN_(Opens)
1001170,-528,mV,100,mV,T001.PGOOD_(Opens)
1001030,-400,mV,100,mV,T001.VCC_(Opens)
1001110,-299,mV,100,mV,T001.BST_(Opens)
1001140,-610,mV,100,mV,T001.PGM0_(Opens)
1001130,-650,mV,100,mV,T001.PGM1_(Opens)
1001150,-450,mV,100,mV,T001.DATA_PGM2_(Opens)
1001160,-702,mV,100,mV,T001.CLK_EN_(Opens)
1001090,-422,mV,100,mV,T001.LX_(Opens)
1001070,-552,mV,100,mV,T001.VDDH_(Opens)
1001190,-100,mV,326,mV,T001.BST_LX_(Opens)
1001210,-100,mV,729,mV,T001.PGM0_AVDD_(Opens)
1001220,-100,mV,555,mV,T001.PGM1_AVDD_(Opens)
1001230,-450,mV,100,mV,T001.DATA_PGM2_AVDD_(Opens)
1001490,-694,mV,100,mV,T001.CLK_EN_AVDD_(Opens)
1001500,-100,mV,800,mV,T001.SNSP_AVDD_(Opens)
1001510,-100,mV,729,mV,T001.SNSN_AVDD_(Opens)
1001101,-614,mV,100,mV,T001.EN_(Opens)
1001031,-619,mV,100,mV,T001.LDOIN_(Opens)
1001240,-2000,mV,-300,mV,T001.AVDD_(Shorts)
1001280,-2000,mV,-618,mV,T001.SNSP_(Shorts)
1001250,-2000,mV,-405,mV,T001.SNSN_(Shorts)
1001400,-2000,mV,-279,mV,T001.PGOOD_(Shorts)
1001260,-2000,mV,-250,mV,T001.VCC_(Shorts)
1001340,-2000,mV,-200,mV,T001.BST_(Shorts)
1001370,-2000,mV,-404,mV,T001.PGM0_(Shorts)
1001360,-2000,mV,-450,mV,T001.PGM1_(Shorts)
1001380,-2000,mV,-300,mV,T001.DATA_PGM2_(Shorts)
1001390,-2000,mV,-596,mV,T001.CLK_EN_(Shorts)
1001320,-2000,mV,-220,mV,T001.LX_(Shorts)
1001300,-2000,mV,-375,mV,T001.VDDH_(Shorts)
1001420,166,mV,2000,mV,T001.BST_LX_(Shorts)
1001440,550,mV,2000,mV,T001.PGM0_AVDD_(Shorts)
1001450,438,mV,2000,mV,T001.PGM1_AVDD_(Shorts)
1001460,-2000,mV,-300,mV,T001.DATA_PGM2_AVDD_(Shorts)
1001540,-2000,mV,-550,mV,T001.CLK_EN_AVDD_(Shorts)
1001550,650,mV,2000,mV,T001.SNSP_AVDD_(Shorts)
1001560,550,mV,2000,mV,T001.SNSN_AVDD_(Shorts)
1001601,-2000,mV,-500,mV,T001.EN_(Shorts)
1001531,-2000,mV,-500,mV,T001.LDOIN_(Shorts)
1003246,0,V,0.400,V,Ring_check_test
1003000,-500,mV,-50,mV,T003.Verify.Fet.OFF_VDDH_12v
1003006,,,,,T003.BST_LX_voltage_VDDH_12v
1003010,3,mA,15,mA,T003.IAVDD_fet_off_VDDH_12v
1003020,0.010,mA,0.300,mA,T003.IVDDH_fet_off_VDDH_12v
1003030,-1,uA,400,uA,T003.IVLDOIN_fet_off_VDDH_12v
1003540,3,mA,15,mA,T003.IAVDD_1p71_fet_off_VDDH_12v
1003550,3,mA,15,mA,T003.IAVDD_1p89_fet_off_VDDH_12v
1003310,3,mA,15,mA,T003.IAVDD_LDOIN_5V_fet_off_VDDH_12v
1003320,0.010,mA,0.300,mA,T003.IVDDH_LDOIN_5V_fet_off_VDDH_12v
1003330,-1,uA,400,uA,T003.IVLDOIN_fet_off_VDDH_12v
1003410,3,mA,15,mA,T003.IAVDD_LDOIN_3p3V_fet_off_VDDH_12v
1003420,0.010,mA,0.300,mA,T003.IVDDH_LDOIN_3p3V_fet_off_VDDH_12v
1003430,-1,uA,400,uA,T003.IVLDOIN_3p3V_fet_off_VDDH_12v
1003610,-1000,nA,1000,nA,SNSP_LEAKAGE_0p5V_VDDH_12v
1003620,-500,uA,500,uA,SNSN_LEAKAGE_pos_0p1V_VDDH_12v
1003630,-500,uA,500,uA,SNSN_LEAKAGE_0V_VDDH_12v
1003640,-480,uA,480,uA,SNSN_LEAKAGE_neg_0p1V_VDDH_12v
1900010,-240,mV,-70,mV,Pre-Stress_VXVerify_BothOff_5V
1900030,-5.500,uA,-3.800,uA,Pre-Stress_Ipgm1q_BothOff_5V
1900035,1.600,mA,2.200,mA,Pre-Stress_Iddq_BothOff_5V
1900040,-100,nA,2000,nA,Pre-Stress_Iccq_Nom_BothOff_5V
1900041,-100,nA,2000,nA,Pre-Stress_Iccq_1.7V_BothOff_5V
1900042,-240,nA,3600,nA,Pre-Stress_Iccq_1.9V_BothOff_5V
1900045,4,uA,6,uA,Pre-Stress_Iddhq_BothOff_5V
1900050,-0.800,uA,1.100,uA,Pre-Stress_Iddhq_rst_BothOff_5V
1900060,-22.500,nA,400,nA,Pre-Stress_Ibstq_BothOff_5V
1900070,-0.600,uA,1.500,uA,Pre-Stress_Ldoin_BothOff_5V
1900080,-800,nA,250,nA,Pre-Stress_VXLeakage0V_BothOff_5V
1900090,-0.500,uA,3.200,uA,Pre-Stress_VXLeakageVddh_BothOff_5V
1900110,-3.270,mV,4.750,mV,Pre-Stress_VXVerify_LSon_5V
1900130,-5.500,uA,-4,uA,Pre-Stress_Ipgm1q_LSon_5V
1900135,1.500,mA,2.300,mA,Pre-Stress_Iddq_LSon_5V
1900140,-0.060,uA,1,uA,Pre-Stress_Iccq_Nom_LSon_5V
1900141,-0.040,uA,0.700,uA,Pre-Stress_Iccq_1.7V_LSon_5V
1900142,-0.800,uA,10,uA,Pre-Stress_Iccq_1.9V_LSon_5V
1900145,4,uA,9.600,uA,Pre-Stress_Iddhq_LSon_5V
1900150,-200,nA,1200,nA,Pre-Stress_Iddhq_rst_LSon_5V
1900160,10,nA,320,nA,Pre-Stress_Ibstq_LSon_5V
1900170,-0.600,uA,1.430,uA,Pre-Stress_Ldoin_LSon_5V
1900210,4.950,V,5.050,V,Pre-Stress_VXVerify_HSon_5V
1900230,-5,uA,-4,uA,Pre-Stress_Ipgm1q_HSon_5V
1900235,1.650,mA,2.400,mA,Pre-Stress_Iddq_HSon_5V
1900240,-0.100,uA,2,uA,Pre-Stress_Iccq_Nom_HSon_5V
1900241,-0.100,uA,2,uA,Pre-Stress_Iccq_1.7V_HSon_5V
1900242,-0.100,uA,2,uA,Pre-Stress_Iccq_1.9V_HSon_5V
1900245,4,uA,9,uA,Pre-Stress_Iddhq_HSon_5V
1900250,-0.500,uA,3.200,uA,Pre-Stress_Iddhq_rst_HSon_5V
1900260,-200,nA,1500,nA,Pre-Stress_Ibstq_HSon_5V
1900270,-600,nA,1000,nA,Pre-Stress_Ldoin_HSon_5V
1900280,0.140,uA,5.200,uA,Pre-Stress_Iddq_AllOff_5V
1002010,-217,mV,-161,mV,Pre-Stress_VXVerify_BothOff_Nominal
1002030,-9,uA,-5,uA,Pre-Stress_Ipgm1q_BothOff_Nominal
1002035,1.600,mA,2.200,mA,Pre-Stress_Iddq_BothOff_Nominal
1002040,-100,nA,2000,nA,Pre-Stress_Iccq_Nom_BothOff_Nominal
1002041,-100,nA,2000,nA,Pre-Stress_Iccq_1.7V_BothOff_Nominal
1002042,-240,nA,3600,nA,Pre-Stress_Iccq_1.9V_BothOff_Nominal
1002045,5,uA,9,uA,Pre-Stress_Iddhq_BothOff_Nominal
1002050,-0.200,uA,1.100,uA,Pre-Stress_Iddhq_rst_BothOff_Nominal
1002060,-22.500,nA,400,nA,Pre-Stress_Ibstq_BothOff_Nominal
1002070,-0.600,uA,1.500,uA,Pre-Stress_Ldoin_BothOff_Nominal
1002080,-1200,nA,300,nA,Pre-Stress_VXLeakage0V_BothOff_Nominal
1002090,-0.500,uA,3.200,uA,Pre-Stress_VXLeakageVddh_BothOff_Nominal
1002110,-5,mV,5,mV,Pre-Stress_VXVerify_LSon_Nominal
1002130,-9,uA,-5,uA,Pre-Stress_Ipgm1q_LSon_Nominal
1002135,1.500,mA,2.300,mA,Pre-Stress_Iddq_LSon_Nominal
1002140,-0.060,uA,1,uA,Pre-Stress_Iccq_Nom_LSon_Nominal
1002141,-0.040,uA,0.700,uA,Pre-Stress_Iccq_1.7V_LSon_Nominal
1002142,-0.800,uA,10,uA,Pre-Stress_Iccq_1.9V_LSon_Nominal
1002145,5,uA,9.600,uA,Pre-Stress_Iddhq_LSon_Nominal
1002150,-200,nA,1200,nA,Pre-Stress_Iddhq_rst_LSon_Nominal
1002160,10,nA,320,nA,Pre-Stress_Ibstq_LSon_Nominal
1002170,-0.440,uA,1.430,uA,Pre-Stress_Ldoin_LSon_Nominal
1002210,11.950,V,12.050,V,Pre-Stress_VXVerify_HSon_Nominal
1002230,-9,uA,-5,uA,Pre-Stress_Ipgm1q_HSon_Nominal
1002235,1.400,mA,2.400,mA,Pre-Stress_Iddq_HSon_Nominal
1002240,-0.100,uA,2,uA,Pre-Stress_Iccq_Nom_HSon_Nominal
1002241,-0.100,uA,2,uA,Pre-Stress_Iccq_1.7V_HSon_Nominal
1002242,-0.100,uA,2,uA,Pre-Stress_Iccq_1.9V_HSon_Nominal
1002245,6.500,uA,9,uA,Pre-Stress_Iddhq_HSon_Nominal
1002250,-0.500,uA,3.200,uA,Pre-Stress_Iddhq_rst_HSon_Nominal
1002260,-200,nA,1500,nA,Pre-Stress_Ibstq_HSon_Nominal
1002270,-440,nA,1000,nA,Pre-Stress_Ldoin_HSon_Nominal
1002280,0.140,uA,5.200,uA,Pre-Stress_Iddq_AllOff_Nominal
1052010,-250,mV,-150,mV,Pre-Stress_VXVerify_BothOff_16V
1052030,-11,uA,-5,uA,Pre-Stress_Ipgm1q_BothOff_16V
1052035,1.500,mA,2.200,mA,Pre-Stress_Iddq_BothOff_16V
1052040,-100,nA,2000,nA,Pre-Stress_Iccq_Nom_BothOff_16V
1052041,-100,nA,2000,nA,Pre-Stress_Iccq_1.7V_BothOff_16V
1052042,-100,nA,2000,nA,Pre-Stress_Iccq_1.9V_BothOff_16V
1052045,1.190,uA,20.200,uA,Pre-Stress_Iddhq_BothOff_16V
1052050,-0.200,uA,2.200,uA,Pre-Stress_Iddhq_rst_BothOff_16V
1052060,-17.300,nA,612,nA,Pre-Stress_Ibstq_BothOff_16V
1052070,-0.080,uA,0.274,uA,Pre-Stress_Ldoin_BothOff_16V
1052080,-24900,nA,35000.001,nA,Pre-Stress_VXLeakage0V_BothOff_16V
1052090,-49,uA,385,uA,Pre-Stress_VXLeakageVddh_BothOff_16V
1052110,-50,mV,50,mV,Pre-Stress_VXVerify_LSon_16V
1052130,-11,uA,-5,uA,Pre-Stress_Ipgm1q_LSon_16V
1052135,1.500,mA,2.200,mA,Pre-Stress_Iddq_LSon_16V
1052140,-0.060,uA,1,uA,Pre-Stress_Iccq_Nom_LSon_16V
1052141,-0.040,uA,0.700,uA,Pre-Stress_Iccq_1.7V_LSon_16V
1052142,-0.800,uA,10,uA,Pre-Stress_Iccq_1.9V_LSon_16V
1052145,-5.880,uA,70,uA,Pre-Stress_Iddhq_LSon_16V
1052150,-7290,nA,57900.001,nA,Pre-Stress_Iddhq_rst_LSon_16V
1052160,-20.900,nA,545,nA,Pre-Stress_Ibstq_LSon_16V
1052170,-0.080,uA,0.265,uA,Pre-Stress_Ldoin_LSon_16V
1052210,15.950,V,16.050,V,Pre-Stress_VXVerify_HSon_16V
1052230,-11,uA,-5,uA,Pre-Stress_Ipgm1q_HSon_16V
1052235,1.500,mA,2.200,mA,Pre-Stress_Iddq_HSon_16V
1052240,-0.100,uA,2,uA,Pre-Stress_Iccq_Nom_HSon_16V
