Info,Envision,R15.7.2
Info,ProgramName,VK78ABAtp01FTCHAR_SS_eng01
Info,TimeStamp,Mon Feb 21 18:57:37 2022
Info,Device,MAX20810_VK78A-0B
Info,LotID,DLOG_CHECK
Info,SubLotID,
Info,TesterName,ltxcx064
Info,TesterType,Fusion_MX20C
Info,Operator,skipall
Info,FabID,
Info,Flow,CHAR_ROOM_QFN
Info,AdapterBoard,VK76_SS
,,
,,
Test#,Minimum,Unit,Maximum,Unit,Test Description
1001010,-800,mV,100,mV,T001.AVDD_(Opens)
1001050,-800,mV,100,mV,T001.SNSP_(Opens)
1001020,-800,mV,100,mV,T001.SNSN_(Opens)
1001170,-800,mV,100,mV,T001.PGOOD_(Opens)
1001030,-800,mV,100,mV,T001.VCC_(Opens)
1001110,-800,mV,100,mV,T001.BST_(Opens)
1001140,-800,mV,100,mV,T001.PGM0_(Opens)
1001130,-800,mV,100,mV,T001.PGM1_(Opens)
1001150,-800,mV,100,mV,T001.DATA_PGM2_(Opens)
1001160,-800,mV,100,mV,T001.CLK_EN_(Opens)
1001090,-800,mV,100,mV,T001.LX_(Opens)
1001070,-800,mV,100,mV,T001.VDDH_(Opens)
1001190,-100,mV,800,mV,T001.BST_LX_(Opens)
1001210,284,mV,960,mV,T001.PGM0_AVDD_(Opens)
1001220,284,mV,960,mV,T001.PGM1_AVDD_(Opens)
1001230,1500,mV,2500,mV,T001.DATA_PGM2_AVDD_(Opens)
1001490,1800,mV,2200,mV,T001.CLK_EN_AVDD_(Opens)
1001500,-100,mV,900,mV,T001.SNSP_AVDD_(Opens)
1001510,406,mV,950,mV,T001.SNSN_AVDD_(Opens)
1001101,-800,mV,100,mV,T001.EN_(Opens)
1001031,-800,mV,100,mV,T001.LDOIN_(Opens)
1001240,-800,mV,-100,mV,T001.AVDD_(Shorts)
1001280,-800,mV,-100,mV,T001.SNSP_(Shorts)
1001250,-800,mV,-100,mV,T001.SNSN_(Shorts)
1001400,-800,mV,-100,mV,T001.PGOOD_(Shorts)
1001260,-800,mV,-100,mV,T001.VCC_(Shorts)
1001340,-800,mV,-100,mV,T001.BST_(Shorts)
1001370,-800,mV,-100,mV,T001.PGM0_(Shorts)
1001360,-800,mV,-100,mV,T001.PGM1_(Shorts)
1001380,-800,mV,-100,mV,T001.DATA_PGM2_(Shorts)
1001390,-800,mV,-100,mV,T001.CLK_EN_(Shorts)
1001320,-800,mV,-70,mV,T001.LX_(Shorts)
1001300,-800,mV,-100,mV,T001.VDDH_(Shorts)
1001420,100,mV,800,mV,T001.BST_LX_(Shorts)
1001440,284,mV,960,mV,T001.PGM0_AVDD_(Shorts)
1001450,284,mV,960,mV,T001.PGM1_AVDD_(Shorts)
1001460,1800,mV,2200,mV,T001.DATA_PGM2_AVDD_(Shorts)
1001540,1800,mV,2200,mV,T001.CLK_EN_AVDD_(Shorts)
1001550,100,mV,900,mV,T001.SNSP_AVDD_(Shorts)
