Info,Envision,R15.7.2
Info,ProgramName,VK78ABAtp01FTCHAR_SS_eng05
Info,TimeStamp,Tue May 3 14:54:54 2022
Info,Device,MAX20810_VK78A-0B
Info,LotID,LIMIT_VERIFY
Info,SubLotID,
Info,TesterName,ltxcx064
Info,TesterType,Fusion_MX20C
Info,Operator,mtarvina
Info,FabID,
Info,Flow,CHAR_ROOM
Info,AdapterBoard,VK76_SS
,,
,,
Test#,Minimum,Unit,Maximum,Unit,Test Description
1001010,-524.593,mV,0.100,mV,T001.AVDD_(Opens)
1001050,-932.261,mV,0.100,mV,T001.SNSP_(Opens)
1001020,-846.502,mV,0.100,mV,T001.SNSN_(Opens)
1001170,-657.115,mV,0.100,mV,T001.PGOOD_(Opens)
1001030,-483.915,mV,0.100,mV,T001.VCC_(Opens)
1001110,-480.817,mV,0.100,mV,T001.BST_(Opens)
1001140,-736.780,mV,0.100,mV,T001.PGM0_(Opens)
1001130,-830.596,mV,0.100,mV,T001.PGM1_(Opens)
1001150,-617.234,mV,0.100,mV,T001.DATA_PGM2_(Opens)
1001160,-923.944,mV,0.100,mV,T001.CLK_EN_(Opens)
1001090,-410.566,mV,0.100,mV,T001.LX_(Opens)
1001070,-367.818,mV,0.100,mV,T001.VDDH_(Opens)
1001190,-0.100,mV,539.742,mV,T001.BST_LX_(Opens)
1001210,-0.100,mV,729.629,mV,T001.PGM0_AVDD_(Opens)
1001220,-0.100,mV,738.256,mV,T001.PGM1_AVDD_(Opens)
1001230,1233.887,mV,2911.423,mV,T001.DATA_PGM2_AVDD_(Opens)
1001490,1226.717,mV,2895.322,mV,T001.CLK_EN_AVDD_(Opens)
1001500,-0.100,mV,1009.663,mV,T001.SNSP_AVDD_(Opens)
1001510,-0.100,mV,896.366,mV,T001.SNSN_AVDD_(Opens)
1001101,-801.950,mV,0.100,mV,T001.EN_(Opens)
1001031,-804.664,mV,0.100,mV,T001.LDOIN_(Opens)
1001240,-524.779,mV,-215.126,mV,T001.AVDD_(Shorts)
1001280,-932.718,mV,-385.219,mV,T001.SNSP_(Shorts)
1001250,-845.198,mV,-303.356,mV,T001.SNSN_(Shorts)
1001400,-656.213,mV,-216.603,mV,T001.PGOOD_(Shorts)
1001260,-484.284,mV,-196.863,mV,T001.VCC_(Shorts)
1001340,-478.439,mV,-172.928,mV,T001.BST_(Shorts)
1001370,-736.745,mV,-294.893,mV,T001.PGM0_(Shorts)
1001360,-828.389,mV,-343.552,mV,T001.PGM1_(Shorts)
1001380,-615.739,mV,-197.443,mV,T001.DATA_PGM2_(Shorts)
1001390,-925.495,mV,-389.716,mV,T001.CLK_EN_(Shorts)
1001320,-412.894,mV,-132.375,mV,T001.LX_(Shorts)
1001300,-368.707,mV,-143.691,mV,T001.VDDH_(Shorts)
1001420,203.713,mV,538.642,mV,T001.BST_LX_(Shorts)
1001440,283.907,mV,728.867,mV,T001.PGM0_AVDD_(Shorts)
1001450,286.636,mV,736.539,mV,T001.PGM1_AVDD_(Shorts)
1001460,1233.921,mV,2911.301,mV,T001.DATA_PGM2_AVDD_(Shorts)
1001540,1226.983,mV,2895.457,mV,T001.CLK_EN_AVDD_(Shorts)
1001550,426.376,mV,1011.372,mV,T001.SNSP_AVDD_(Shorts)
1001560,378.184,mV,898.848,mV,T001.SNSN_AVDD_(Shorts)
1001601,-802.646,mV,-334.006,mV,T001.EN_(Shorts)
1001531,-802.501,mV,-337.079,mV,T001.LDOIN_(Shorts)
1001570,-7,mV,7,mV,T001.PGND_to_GND_Short
1001580,9.800,mA,10.200,mA,T001.PGND_to_GND_10mA
1001610,-600,mV,-100,mV,T001.VDDH_F1_OVI
1001620,-600,mV,-100,mV,T001.VDDH_F2_OVI
1001630,-7,mV,7,mV,T001.PGND_F1_OVI
1001640,-600,mV,-150,mV,T001.LX_LS_F1_OVI
1001650,-600,mV,-150,mV,T001.LX_HS_F1_OVI
1001660,-600,mV,-150,mV,T001.LX_HS_F2_OVI
1001720,-529.518,mV,0.100,mV,T001.VDDH_LX_NEG_(Opens)
1001730,-0.100,mV,394.695,mV,T001.VCC_BST_POS(Opens)
1001750,-527.639,mV,-198.661,mV,T001.VDDH_LX_NEG_(Shorts)
1001760,155.412,mV,392.159,mV,T001.VCC_BST_POS(Shorts)
1003246,0,mV,400,mV,Ring_check_test
1003247,0,none,0,none,Ring_fault_test
1003251,,,,,X_coordinate_readback
1003252,,,,,Y_coordinate_readback
1003253,,,,,Wafer_ID_readback
1003254,,,,,EnggProgram_readback
1003255,,,,,Serial_Number_readback
1003000,-500,mV,-50,mV,T003.Verify.Fet.OFF
1003006,1.422,V,1.850,V,T003.BST_LX_voltage.bst_sw_off.bst_reg_off
1003016,1.780,V,1.830,V,T003.VCC_fet_off
1003010,4,mA,9,mA,T003.IAVDD_fet_off
1003020,50,uA,370,uA,T003.IVLDOIN_fet_off
1003025,4,mA,9.400,mA,T003.IVLDOIN+IAVDD_fet_off
1003030,-1,uA,200,uA,T003.IVDDH_fet_off
1003540,4,mA,9,mA,T003.IAVDD_1p71_fet_off
1003550,4,mA,9,mA,T003.IAVDD_1p95_fet_off
1003060,-1,uA,100,uA,T003.IVDDH_2p7V_fet_off
1003070,-1,uA,300,uA,T003.IVDDH_16V_fet_off
1003310,4,mA,9.500,mA,T003.IAVDD_LDOIN_5p5V_fet_off
1003330,10,uA,300,uA,T003.IVLDOIN_5p5V_fet_off
1003335,4,mA,9.500,mA,T003.IVLDOIN+IAVDD_LDOIN_5p5V_fet_off
1003320,73,uA,200,uA,T003.IVDDH_LDOIN_5p5V_fet_off
1003410,4,mA,9.500,mA,T003.IAVDD_LDOIN_2p5V_fet_off
1003430,0.010,uA,300,uA,T003.IVLDOIN_2p5V_fet_off
1003420,73,uA,200,uA,T003.IVDDH_VLDOIN_2p5V_fet_off
1003435,4,mA,9.500,mA,T003.IVLDOIN+IAVDD_LDOIN_2p5V_fet_off
1003440,4,mA,9.500,mA,T003.IAVDD_LDOIN_0V_fet_off
1003460,-26.200,uA,-6.200,uA,T003.IVLDOIN_0V_fet_off
1003450,100,uA,537,uA,T003.IVDDH_VLDOIN_0V_fet_off
