Test#,DlogMin,DlogUnit,LGMin,LGUnit,CompareMin,,DlogMax,DlogUnit,LGMax,LGUnit,CompareMax
1001010,-524.593,mV,-524.5932,mV,,,0.1,mV,0.1,mV,
1001050,-932.261,mV,-932.2607,mV,,,0.1,mV,0.1,mV,
1001020,-846.502,mV,-846.5018,mV,,,0.1,mV,0.1,mV,
1001170,-657.115,mV,-657.1147,mV,,,0.1,mV,0.1,mV,
1001030,-483.915,mV,-483.9147,mV,,,0.1,mV,0.1,mV,
1001110,-480.817,mV,-480.817,mV,,,0.1,mV,0.1,mV,
1001140,-736.78,mV,-736.7801,mV,,,0.1,mV,0.1,mV,
1001130,-830.596,mV,-830.5961,mV,,,0.1,mV,0.1,mV,
1001150,-617.234,mV,-617.234,mV,,,0.1,mV,0.1,mV,
1001160,-923.944,mV,-923.9445,mV,,,0.1,mV,0.1,mV,
1001090,-410.566,mV,-410.5662,mV,,,0.1,mV,0.1,mV,
1001070,-367.818,mV,-367.8177,mV,,,0.1,mV,0.1,mV,
1001190,-0.1,mV,-0.1,mV,,,539.742,mV,539.7418,mV,
1001210,-0.1,mV,-0.1,mV,,,729.629,mV,729.6294,mV,
1001220,-0.1,mV,-0.1,mV,,,738.256,mV,738.2561,mV,
1001230,1233.887,mV,1233.887,mV,,,2911.423,mV,2911.423,mV,
1001490,1226.717,mV,1226.717,mV,,,2895.322,mV,2895.322,mV,
1001500,-0.1,mV,-0.1,mV,,,1009.663,mV,1009.663,mV,
1001510,-0.1,mV,-0.1,mV,,,896.366,mV,896.3657,mV,
1001101,-801.95,mV,-801.9504,mV,,,0.1,mV,0.1,mV,
1001031,-804.664,mV,-804.6645,mV,,,0.1,mV,0.1,mV,
1001240,-524.779,mV,-524.7794,mV,,,-215.126,mV,-215.1265,mV,
1001280,-932.718,mV,-932.7175,mV,,,-385.219,mV,-385.2188,mV,
1001250,-845.198,mV,-845.1982,mV,,,-303.356,mV,-303.3563,mV,
