Info,Envision,R15.7.2
Info,ProgramName,VK78ABXtp01FSeng01
Info,TimeStamp,Wed Feb 9 17:00:45 2022
Info,Device,VK78A-0B
Info,LotID,DLOG_CHECK
Info,SubLotID,
Info,TesterName,ltxcx002
Info,TesterType,Fusion_CX
Info,Operator,skipall
Info,FabID,
Info,Flow,PST_BUMP
Info,AdapterBoard,VK76_Octal_FS_01
,,
,,
Test#,Minimum,Unit,Maximum,Unit,Test Description
1000010,,,,,X_coordinate
1000020,,,,,Y_coordinate
1000030,,,,,Wafer_ID
1000040,,,,,Lot_ID
1001010,-637.962,mV,100,mV,T001.AVDD_(Opens)
1001050,-1000,mV,100,mV,T001.SNSP_(Opens)
1001020,-1000,mV,100,mV,T001.SNSN_(Opens)
1001170,-800,mV,100,mV,T001.PGOOD_(Opens)
1001030,-600,mV,100,mV,T001.VCC_(Opens)
1001110,-638.530,mV,100,mV,T001.BST_(Opens)
1001140,-1000,mV,100,mV,T001.PGM0_(Opens)
1001130,-1000,mV,100,mV,T001.PGM1_(Opens)
1001150,-800,mV,100,mV,T001.DATA_PGM2_(Opens)
1001160,-800,mV,100,mV,T001.CLK_EN_(Opens)
1001090,-550,mV,100,mV,T001.LX_(Opens)
1001070,-655.004,mV,100,mV,T001.VDDH_(Opens)
1001190,-100,mV,400,mV,T001.BST_LX_(Opens)
1001210,-100,mV,1300,mV,T001.PGM0_AVDD_(Opens)
1001220,-100,mV,1300,mV,T001.PGM1_AVDD_(Opens)
1001230,-800,mV,100,mV,T001.DATA_PGM2_AVDD_(Opens)
1001490,-800,mV,100,mV,T001.CLK_EN_AVDD_(Opens)
1001500,-100,mV,1300,mV,T001.SNSP_AVDD_(Opens)
1001510,-100,mV,1300,mV,T001.SNSN_AVDD_(Opens)
1001101,-1000,mV,100,mV,T001.EN_(Opens)
1001031,-1000,mV,100,mV,T001.LDOIN_(Opens)
1001240,-637.962,mV,-138.397,mV,T001.AVDD_(Shorts)
1001280,-1000,mV,-400,mV,T001.SNSP_(Shorts)
1001250,-1000.722,mV,-207.258,mV,T001.SNSN_(Shorts)
1001400,-777.775,mV,-131.734,mV,T001.PGOOD_(Shorts)
1001260,-580.865,mV,-140.198,mV,T001.VCC_(Shorts)
1001340,-638.530,mV,-100,mV,T001.BST_(Shorts)
1001370,-1000,mV,-200,mV,T001.PGM0_(Shorts)
1001360,-1000,mV,-200,mV,T001.PGM1_(Shorts)
1001380,-703.528,mV,-146.595,mV,T001.DATA_PGM2_(Shorts)
1001390,-930.932,mV,-358.030,mV,T001.CLK_EN_(Shorts)
1001320,-534.330,mV,-167.722,mV,T001.LX_(Shorts)
1001300,-655.004,mV,-100,mV,T001.VDDH_(Shorts)
1001420,128.339,mV,387.823,mV,T001.BST_LX_(Shorts)
1001440,400,mV,1300,mV,T001.PGM0_AVDD_(Shorts)
1001450,200,mV,1300,mV,T001.PGM1_AVDD_(Shorts)
1001460,-697.612,mV,-159.286,mV,T001.DATA_PGM2_AVDD_(Shorts)
1001540,-924.926,mV,-349.980,mV,T001.CLK_EN_AVDD_(Shorts)
1001550,500,mV,1300,mV,T001.SNSP_AVDD_(Shorts)
1001560,500,mV,1300,mV,T001.SNSN_AVDD_(Shorts)
1001601,-1000,mV,-300,mV,T001.EN_(Shorts)
1001531,-1000,mV,-240,mV,T001.LDOIN_(Shorts)
1003246,0,V,0.400,V,Ring_check_test
1003247,0,,1,,Ring_fault_test
1003000,-300,mV,-100,mV,T003.Verify.Fet.OFF_VDDH_12v
1003006,0.960,V,2.132,V,T003.BST_LX_voltage_VDDH_12v
1003010,2.334,mA,10.052,mA,T003.IAVDD_fet_off_VDDH_12v
1003020,0.010,mA,0.300,mA,T003.IVDDH_fet_off_VDDH_12v
1003030,-11.528,uA,267.131,uA,T003.IVLDOIN_fet_off_VDDH_12v
1003540,1.314,mA,11.114,mA,T003.IAVDD_1p71_fet_off_VDDH_12v
1003550,3,mA,8.694,mA,T003.IAVDD_1p89_fet_off_VDDH_12v
1003310,3.047,mA,9.045,mA,T003.IAVDD_LDOIN_5V_fet_off_VDDH_12v
1003320,0.013,mA,0.254,mA,T003.IVDDH_LDOIN_5V_fet_off_VDDH_12v
1003330,11.759,uA,241.128,uA,T003.IVLDOIN_fet_off_VDDH_12v
1003410,3.049,mA,9.040,mA,T003.IAVDD_LDOIN_3p3V_fet_off_VDDH_12v
1003420,0.013,mA,0.254,mA,T003.IVDDH_LDOIN_3p3V_fet_off_VDDH_12v
1003430,11.167,uA,238.139,uA,T003.IVLDOIN_3p3V_fet_off_VDDH_12v
1003610,-150,nA,150,nA,SNSP_LEAKAGE_0p5V_VDDH_12v
1003620,-500,uA,-173.426,uA,SNSN_LEAKAGE_pos_0p1V_VDDH_12v
1003630,-500,uA,-80.666,uA,SNSN_LEAKAGE_0V_VDDH_12v
1003640,-377.817,uA,-93.937,uA,SNSN_LEAKAGE_neg_0p1V_VDDH_12v
1900010,-301.996,mV,-115.779,mV,Pre-Stress_VXVerify_BothOff_5V
1900030,-5.500,uA,-1.622,uA,Pre-Stress_Ipgm1q_BothOff_5V
1900035,1.360,mA,2.419,mA,Pre-Stress_Iddq_BothOff_5V
1900040,-200,nA,886.909,nA,Pre-Stress_Iccq_Nom_BothOff_5V
1900041,-200,nA,908.756,nA,Pre-Stress_Iccq_1.7V_BothOff_5V
1900042,-250,nA,1260.661,nA,Pre-Stress_Iccq_1.9V_BothOff_5V
1900045,1.096,uA,15,uA,Pre-Stress_Iddhq_BothOff_5V
1900050,-0.400,uA,0.540,uA,Pre-Stress_Iddhq_rst_BothOff_5V
1900060,-42.531,nA,921.274,nA,Pre-Stress_Ibstq_BothOff_5V
1900070,-0.096,uA,0.197,uA,Pre-Stress_Ldoin_BothOff_5V
1900080,-294.725,nA,113.392,nA,Pre-Stress_VXLeakage0V_BothOff_5V
1900090,-0.005,uA,0.632,uA,Pre-Stress_VXLeakageVddh_BothOff_5V
1900110,-20,mV,20,mV,Pre-Stress_VXVerify_LSon_5V
1900130,-5.785,uA,-3.068,uA,Pre-Stress_Ipgm1q_LSon_5V
1900135,1.360,mA,2.419,mA,Pre-Stress_Iddq_LSon_5V
1900140,-0.028,uA,0.681,uA,Pre-Stress_Iccq_Nom_LSon_5V
1900141,-0.069,uA,0.649,uA,Pre-Stress_Iccq_1.7V_LSon_5V
1900142,-0.542,uA,10.881,uA,Pre-Stress_Iccq_1.9V_LSon_5V
1900145,1.109,uA,20.759,uA,Pre-Stress_Iddhq_LSon_5V
1900150,-200,nA,306.290,nA,Pre-Stress_Iddhq_rst_LSon_5V
1900160,-47.025,nA,912.803,nA,Pre-Stress_Ibstq_LSon_5V
1900170,-0.215,uA,0.314,uA,Pre-Stress_Ldoin_LSon_5V
1900210,4.950,V,5.050,V,Pre-Stress_VXVerify_HSon_5V
1900230,-5,uA,-1.624,uA,Pre-Stress_Ipgm1q_HSon_5V
1900235,1.138,mA,2.660,mA,Pre-Stress_Iddq_HSon_5V
1900240,-0.036,uA,0.747,uA,Pre-Stress_Iccq_Nom_HSon_5V
1900241,-0.078,uA,0.904,uA,Pre-Stress_Iccq_1.7V_HSon_5V
1900242,-0.063,uA,1.005,uA,Pre-Stress_Iccq_1.9V_HSon_5V
1900245,1.098,uA,21.420,uA,Pre-Stress_Iddhq_HSon_5V
1900250,-0.500,uA,0.694,uA,Pre-Stress_Iddhq_rst_HSon_5V
1900260,-12.570,nA,1166.240,nA,Pre-Stress_Ibstq_HSon_5V
1900270,-600,nA,990.598,nA,Pre-Stress_Ldoin_HSon_5V
1900280,0.140,uA,25,uA,Pre-Stress_Iddq_AllOff_5V
1002010,-318.170,mV,-122.021,mV,Pre-Stress_VXVerify_BothOff_Nominal
1002030,-9,uA,-2.475,uA,Pre-Stress_Ipgm1q_BothOff_Nominal
1002035,1.362,mA,2.417,mA,Pre-Stress_Iddq_BothOff_Nominal
1002040,-36.521,nA,885.022,nA,Pre-Stress_Iccq_Nom_BothOff_Nominal
1002041,-75.919,nA,909.810,nA,Pre-Stress_Iccq_1.7V_BothOff_Nominal
1002042,-46.951,nA,1239.603,nA,Pre-Stress_Iccq_1.9V_BothOff_Nominal
1002045,5,uA,9,uA,Pre-Stress_Iddhq_BothOff_Nominal
1002050,-0.034,uA,0.540,uA,Pre-Stress_Iddhq_rst_BothOff_Nominal
1002060,-52.330,nA,992.303,nA,Pre-Stress_Ibstq_BothOff_Nominal
1002070,-0.095,uA,0.200,uA,Pre-Stress_Ldoin_BothOff_Nominal
1002080,-343.690,nA,99.424,nA,Pre-Stress_VXLeakage0V_BothOff_Nominal
1002090,-0.004,uA,0.743,uA,Pre-Stress_VXLeakageVddh_BothOff_Nominal
1002110,-20,mV,20,mV,Pre-Stress_VXVerify_LSon_Nominal
1002130,-9.157,uA,-4.699,uA,Pre-Stress_Ipgm1q_LSon_Nominal
1002135,1.363,mA,2.417,mA,Pre-Stress_Iddq_LSon_Nominal
1002140,-0.029,uA,0.683,uA,Pre-Stress_Iccq_Nom_LSon_Nominal
1002141,-0.068,uA,0.648,uA,Pre-Stress_Iccq_1.7V_LSon_Nominal
1002142,-0.542,uA,10.876,uA,Pre-Stress_Iccq_1.9V_LSon_Nominal
1002145,5,uA,9.600,uA,Pre-Stress_Iddhq_LSon_Nominal
1002150,-48.330,nA,600.490,nA,Pre-Stress_Iddhq_rst_LSon_Nominal
1002160,-60.321,nA,991.100,nA,Pre-Stress_Ibstq_LSon_Nominal
1002170,-0.221,uA,0.321,uA,Pre-Stress_Ldoin_LSon_Nominal
1002210,11.950,V,12.050,V,Pre-Stress_VXVerify_HSon_Nominal
1002230,-9,uA,-2.473,uA,Pre-Stress_Ipgm1q_HSon_Nominal
1002235,1.139,mA,2.658,mA,Pre-Stress_Iddq_HSon_Nominal
1002240,-0.036,uA,0.742,uA,Pre-Stress_Iccq_Nom_HSon_Nominal
1002241,-0.077,uA,0.902,uA,Pre-Stress_Iccq_1.7V_HSon_Nominal
1002242,-0.064,uA,1.007,uA,Pre-Stress_Iccq_1.9V_HSon_Nominal
1002245,5,uA,9,uA,Pre-Stress_Iddhq_HSon_Nominal
1002250,-0.500,uA,0.566,uA,Pre-Stress_Iddhq_rst_HSon_Nominal
1002260,-23.639,nA,1232.845,nA,Pre-Stress_Ibstq_HSon_Nominal
1002270,-843.419,nA,979.095,nA,Pre-Stress_Ldoin_HSon_Nominal
1002280,-3.060,uA,35.796,uA,Pre-Stress_Iddq_AllOff_Nominal
1052010,-300,mV,-150,mV,Pre-Stress_VXVerify_BothOff_16V
1052030,-11,uA,-2.952,uA,Pre-Stress_Ipgm1q_BothOff_16V
1052035,1.363,mA,2.417,mA,Pre-Stress_Iddq_BothOff_16V
1052040,-36.073,nA,747.587,nA,Pre-Stress_Iccq_Nom_BothOff_16V
1052041,-76.492,nA,901.317,nA,Pre-Stress_Iccq_1.7V_BothOff_16V
1052042,-63.691,nA,1018.400,nA,Pre-Stress_Iccq_1.9V_BothOff_16V
1052045,2.009,uA,40.314,uA,Pre-Stress_Iddhq_BothOff_16V
1052050,-0.025,uA,1.109,uA,Pre-Stress_Iddhq_rst_BothOff_16V
1052060,-46.649,nA,1074.956,nA,Pre-Stress_Ibstq_BothOff_16V
1052070,-0.465,uA,0.582,uA,Pre-Stress_Ldoin_BothOff_16V
1052080,-24.900,uA,35,uA,Pre-Stress_VXLeakage0V_BothOff_16V
1052090,-49,uA,58.410,uA,Pre-Stress_VXLeakageVddh_BothOff_16V
1052110,-50,mV,50,mV,Pre-Stress_VXVerify_LSon_16V
1052130,-11.091,uA,-5.627,uA,Pre-Stress_Ipgm1q_LSon_16V
1052135,1.363,mA,2.417,mA,Pre-Stress_Iddq_LSon_16V
1052140,-0.028,uA,0.678,uA,Pre-Stress_Iccq_Nom_LSon_16V
1052141,-0.069,uA,0.649,uA,Pre-Stress_Iccq_1.7V_LSon_16V
1052142,-0.540,uA,10.858,uA,Pre-Stress_Iccq_1.9V_LSon_16V
1052145,2.263,uA,58.731,uA,Pre-Stress_Iddhq_LSon_16V
1052150,-7.290,uA,22.205,uA,Pre-Stress_Iddhq_rst_LSon_16V
