Test#,DlogMin,DlogUnit,LGMin,LGUnit,CompareMin,,DlogMax,DlogUnit,LGMax,LGUnit,CompareMax,
1000010,nan,nan,-3.40E+29,one,,,nan,nan,3.40E+29,one,,
1000020,nan,nan,-3.40E+29,one,,,nan,nan,3.40E+29,one,,
1000030,nan,nan,-3.40E+29,one,,,nan,nan,3.40E+29,one,,
1000040,nan,nan,-3.40E+29,one,,,nan,nan,3.40E+29,one,,
1001010,-637.962,mV,-637.9619,mV,,,100,mV,100,mV,,
1001050,-1000,mV,-1000,mV,,,100,mV,100,mV,,
1001020,-1000,mV,-1000,mV,,,100,mV,100,mV,,
1001170,-800,mV,-800,mV,,,100,mV,100,mV,,
1001030,-600,mV,-600,mV,,,100,mV,100,mV,,
1001110,-638.53,mV,-638.5299,mV,,,100,mV,100,mV,,
1001140,-1000,mV,-1000,mV,,,100,mV,100,mV,,
1001130,-1000,mV,-1000,mV,,,100,mV,100,mV,,
1001150,-800,mV,-800,mV,,,100,mV,100,mV,,
1001160,-800,mV,-800,mV,,,100,mV,100,mV,,
1001090,-550,mV,-550,mV,,,100,mV,100,mV,,
1001070,-655.004,mV,-655.0043,mV,,,100,mV,100,mV,,
1001190,-100,mV,-100,mV,,,400,mV,400,mV,,
1001210,-100,mV,-100,mV,,,1300,mV,1300,mV,,
1001220,-100,mV,-100,mV,,,1300,mV,1300,mV,,
1001230,-800,mV,-800,mV,,,100,mV,100,mV,,
1001490,-800,mV,-800,mV,,,100,mV,100,mV,,
1001500,-100,mV,-100,mV,,,1300,mV,1300,mV,,
1001510,-100,mV,-100,mV,,,1300,mV,1300,mV,,
1001101,-1000,mV,-1000,mV,,,100,mV,100,mV,,
1001031,-1000,mV,-1000,mV,,,100,mV,100,mV,,
1001240,-637.962,mV,-637.9619,mV,,,-138.397,mV,-138.3965,mV,,
1001280,-1000,mV,-1000,mV,,,-400,mV,-400,mV,,
1001250,-1000.722,mV,-1000.722,mV,,,-207.258,mV,-207.2584,mV,,
1001400,-777.775,mV,-777.775,mV,,,-131.734,mV,-131.7339,mV,,
1001260,-580.865,mV,-580.8647,mV,,,-140.198,mV,-140.1982,mV,,
1001340,-638.53,mV,-638.5299,mV,,,-100,mV,-100,mV,,
1001370,-1000,mV,-1000,mV,,,-200,mV,-200,mV,,
1001360,-1000,mV,-1000,mV,,,-200,mV,-200,mV,,
1001380,-703.528,mV,-703.5275,mV,,,-146.595,mV,-146.5951,mV,,
1001390,-930.932,mV,-930.9315,mV,,,-358.03,mV,-358.03,mV,,
1001320,-534.33,mV,-534.3299,mV,,,-167.722,mV,-167.7216,mV,,
1001300,-655.004,mV,-655.0043,mV,,,-100,mV,-266.3389,mV,X,
1001420,128.339,mV,128.3394,mV,,,387.823,mV,387.8228,mV,,
1001440,400,mV,400,mV,,,1300,mV,1300,mV,,
1001450,200,mV,200,mV,,,1300,mV,1300,mV,,
1001460,-697.612,mV,-697.6122,mV,,,-159.286,mV,-159.2863,mV,,
1001540,-924.926,mV,-924.9261,mV,,,-349.98,mV,-349.9802,mV,,
1001550,500,mV,500,mV,,,1300,mV,1300,mV,,
1001560,500,mV,500,mV,,,1300,mV,1300,mV,,
1001601,-1000,mV,-1000,mV,,,-300,mV,-300,mV,,
1001531,-1000,mV,-1000,mV,,,-240,mV,-240,mV,,
1003246,0,V,0,V,,,0.4,V,0.4,V,,
1003247,0,nan,0,nan,,,1,nan,1,nan,,
1003000,-300,mV,-300,mV,,,-100,mV,-100,mV,,
1003006,0.96,V,0.9598658,V,,,2.132,V,2.13159,V,,
1003010,2.334,mA,2.333973,mA,,,10.052,mA,10.05243,mA,,
1003020,0.01,mA,0.009999999,mA,,,0.3,mA,0.3,mA,,
1003030,-11.528,uA,-11.52821,uA,,,267.131,uA,267.1312,uA,,
1003540,1.314,mA,1.31362,mA,,,11.114,mA,11.11375,mA,,
1003550,3,mA,3,mA,,,8.694,mA,8.693974,mA,,
1003310,3.047,mA,3.046784,mA,,,9.045,mA,9.045262,mA,,
1003320,0.013,mA,0.01262969,mA,,,0.254,mA,0.2538681,mA,,
1003330,11.759,uA,11.75901,uA,,,241.128,uA,241.1275,uA,,
1003410,3.049,mA,3.049159,mA,,,9.04,mA,9.04026,mA,,
1003420,0.013,mA,0.01264026,mA,,,0.254,mA,0.2538445,mA,,
1003430,11.167,uA,11.16713,uA,,,238.139,uA,238.139,uA,,
1003610,-150,nA,-150,nA,,,150,nA,150,nA,,
1003620,-500,uA,-500,uA,,,-173.426,uA,-173.4262,uA,,
1003630,-500,uA,-500,uA,,,-80.666,uA,-80.66619,uA,,
1003640,-377.817,uA,-377.817,uA,,,-93.937,uA,-93.93696,uA,,
1900010,-301.996,mV,-301.9959,mV,,,-115.779,mV,-115.7792,mV,,
1900030,-5.5,uA,-5.5,uA,,,-1.622,uA,-1.622099,uA,,
1900035,1.36,mA,1.360473,mA,,,2.419,mA,2.418747,mA,,
1900040,-200,nA,-200,nA,,,886.909,nA,886.9086,nA,,
1900041,-200,nA,-200,nA,,,908.756,nA,908.7561,nA,,
1900042,-250,nA,-249.9999,nA,,,1260.661,nA,1260.661,nA,,
1900045,1.096,uA,1.096433,uA,,,15,uA,15,uA,,
1900050,-0.4,uA,-0.4,uA,,,0.54,uA,0.5401671,uA,,
1900060,-42.531,nA,-42.53069,nA,,,921.274,nA,921.274,nA,,
1900070,-0.096,uA,-0.09590476,uA,,,0.197,uA,0.1969095,uA,,
1900080,-294.725,nA,-294.7254,nA,,,113.392,nA,113.3916,nA,,
1900090,-0.005,uA,-0.005428282,uA,,,0.632,uA,0.6316884,uA,,
1900110,-20,mV,-19.99999,mV,,,20,mV,19.99999,mV,,
1900130,-5.785,uA,-5.784882,uA,,,-3.068,uA,-3.068303,uA,,
1900135,1.36,mA,1.360303,mA,,,2.419,mA,2.419223,mA,,
1900140,-0.028,uA,-0.02834278,uA,,,0.681,uA,0.681449,uA,,
1900141,-0.069,uA,-0.06891662,uA,,,0.649,uA,0.6493624,uA,,
1900142,-0.542,uA,-0.5420128,uA,,,10.881,uA,10.88095,uA,,
1900145,1.109,uA,1.10901,uA,,,20.759,uA,20.75916,uA,,
1900150,-200,nA,-200,nA,,,306.29,nA,306.29,nA,,
1900160,-47.025,nA,-47.02544,nA,,,912.803,nA,912.8026,nA,,
1900170,-0.215,uA,-0.2153367,uA,,,0.314,uA,0.3142006,uA,,
1900210,4.95,V,4.95,V,,,5.05,V,5.05,V,,
1900230,-5,uA,-4.999999,uA,,,-1.624,uA,-1.623743,uA,,
1900235,1.138,mA,1.137733,mA,,,2.66,mA,2.659641,mA,,
1900240,-0.036,uA,-0.03630144,uA,,,0.747,uA,0.7472589,uA,,
1900241,-0.078,uA,-0.07768967,uA,,,0.904,uA,0.9044177,uA,,
1900242,-0.063,uA,-0.06331776,uA,,,1.005,uA,1.005221,uA,,
1900245,1.098,uA,1.098395,uA,,,21.42,uA,21.41973,uA,,
1900250,-0.5,uA,-0.4999999,uA,,,0.694,uA,0.6935258,uA,,
1900260,-12.57,nA,-12.5704,nA,,,1166.24,nA,1166.24,nA,,
1900270,-600,nA,-600,nA,,,990.598,nA,990.5978,nA,,
1900280,0.14,uA,0.1399999,uA,,,25,uA,25,uA,,
1002010,-318.17,mV,-318.1698,mV,,,-122.021,mV,-122.0206,mV,,
1002030,-9,uA,-9,uA,,,-2.475,uA,-2.4749,uA,,
1002035,1.362,mA,1.362384,mA,,,2.417,mA,2.417008,mA,,
1002040,-36.521,nA,-36.52069,nA,,,885.022,nA,885.0217,nA,,
1002041,-75.919,nA,-75.91938,nA,,,909.81,nA,909.8095,nA,,
1002042,-46.951,nA,-46.95142,nA,,,1239.603,nA,1239.603,nA,,
1002045,5,uA,4.999999,uA,,,9,uA,9,uA,,
1002050,-0.034,uA,-0.03432581,uA,,,0.54,uA,0.5401671,uA,,
1002060,-52.33,nA,-52.3295,nA,,,992.303,nA,992.3027,nA,,
1002070,-0.095,uA,-0.09543001,uA,,,0.2,uA,0.2004464,uA,,
1002080,-343.69,nA,-343.6904,nA,,,99.424,nA,99.42394,nA,,
