"","","","LG_Char","0.51"
"","","","GBD Version","4.01.2591","","","","","Temp","Limits Method"
"","","","Date","29-Apr-22 6:09:17 AM (PST)","","","","","-40","Guaranteed By Design"
"","","","Die Type","VK78A-0B","","","","","0","Guaranteed By Design"
"","","","Product","MAX20810","","","","","32","Guaranteed By Design"
"","","","Lot Number","","","","","","85","Guaranteed By Design"
"","","","Wafer Number","","","","","","125","Guaranteed By Design"
"","","","Engineer","","","","","","",""
"","","","Approved By","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","TestType","","","Mean","Median","StDev","Min","Max","","NoScale","PD","SD","OD","SU","OU","NSigDown","NSigUp","GBDMinck","GBDMaxck","GBDMin","GBDMax","TesterLow","TesterHigh","LimitOverrideLow","LimitOverrideHigh","ECMinInput","ECMaxInput","GBCalcType","GBCalcTester","GBCalcComp","GBCalcGage1","GBCalcGage2","GBCalcCorrTar","GBCalcCorrDeltaMin","GBCalcCorrDeltaMax","GBCalcIns","GBCalcSupplyMean","GBCorrReq","GBCalcBlank","GBTestType","LimitsMethod","GBTempReq","GBTempMeansTested","GBTempMeanMin","GBTempMeanMax","GBTempDriftNeg","GBTempDriftPos","GBTempSigmaDriftMin","GBTempSigmaDriftMax","GBTempSigmaMin","GBTempSigmaMax","GBResCalcGage","GBTempValidDriftNeg","GBTempValidDriftPos","GBTempECShiftMin","GBTempECShiftMax","GBUncertaintyMin","GBUncertaintyMax","GBResDefMin","GBResDefMax","GBResCalcMinTotal","GBResCalcMaxTotal","GBResUserLow","GBResUserHigh","GBResAppLow","GBResAppHigh","CalcEC","ECMinOutput","ECMaxOutput","FTMin","FTMax","FTSPFOnlyMin","FTSPFOnlyMax","FTSPFMin","FTSPFMax","","SigmaP","SigmaD","GBDPassedMethod","","","","","","dB","Group"
"","","","Test #","Test Name","Test Type","Temp","Unit","Mean","Median","Standard Deviation","Min","Max","","Default Scales?","Process Dependent","Scale (Down)","Offset (Down)","Scale (Up)","Offset (Up)","N Sigma (Down)","N Sigma (Up)","GBD No Scale Min","GBD No Scale Max","GBD Min","GBD Max","EC/QA Low Limit (from tester)","EC/QA High Limit (from tester)","EC/QA Low Limit (Override)","EC/QA High Limit (Override)","EC / QA Min (Input)","EC / QA Max (Input)","GB Type","Tester Accuracy","HW Component Accuracy","T2T Gage or Combined Gage Sigma","B2B Gage Sigma","Correlation Target","Correlation Delta Min","Correlation Delta Max","Insertion Repeatability","Supply Mean Shift","Correlation Components Required?","Calculation Blank?","GB Test Type?","Limits Method","Temperature Components Required?","Means of Temperatures tested","Temperature Mean Shift (Min)","Temperature Mean Shift (Max)","NegDrift","PosDrift","Temperature Sigma Drift","Temperature Sigma Drift","Temperature Sigma Shift (Min)","Temperature Sigma Shift (Max)","Calculated Gage Components","Valid NegDrift","Valid PosDrift","EC Shift (Min)","EC Shift (Max)","Uncertainty GB (Min)","Uncertainty GB (Max)","Default Guardband (Min)","Default Guardband (Max)","Calculated Guardband (Min)","Calculated Guardband (Max)","Override Guardband (Min)","Override Guardband (Max)","Applied Guardband (Min)","Applied Guardband (Max)","Calc EC?","EC / QA Min (Output)","EC / QA Max (Output)","FT Min","FT Max","(For Calc Only) SPF (Min)","(For Calc Only) SPF (Max)","(For Calc Only) FT SPF (Min)","(For Calc Only) FT SPF (Min)","QA
GBD
Flag","Population Sigmas Passed","Drift Sigmas Passed","Passed GBD by Method","QA CPK","FT CPK","FT CP Low","FT CP High","Yield Loss","","","Data Sheet Parameter","Notes","","","Sigma T Max","Sigma TSPF Max","Sigma T","-40","0","32","85","125","","Neg Mean Drift","Pos Mean Drift","Drift Temp","-40","0","32","85","125"
"","","","1001010","T001.AVDD_(Opens)/","TEST - Meas","-40","mV","-409.3053","-409.2152","1.536528","-414.5675","-403.9274","","","FALSE","1.33","0","0.66","0","","","","","-556.6376","-264.0569","","","-585.8956","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","29.29978","29.29978","0.0","0.0","10.0","10.0","10.0","10.0","","","","-575.8956","-9.9","","","","","Exempt","20.31698","","","2.399998","2.263283","","","0.000000000561244387866295%","",""," "," ","0.0"," ","-40","0.0","0.0","0.0","0.0"," "," "," "," ","-40","0.0","0.0","0.0","0.0",,,
"","","","1001010","T001.AVDD_(Opens)/","TEST - Meas","0","mV","-389.3557","-389.2893","878.8547E-03","-393.6743","-387.5481","","","FALSE","1.33","0","0.66","0","","","","","-524.8564","-253.4945","","","-551.9925","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","27.60462","27.60462","0.0","0.0","10.0","10.0","10.0","10.0","","","","-541.9925","-9.9","","","","","Exempt","29.21550","","","2.399998","2.252593","","","0.0000000007006061721652833%","",""," "," ","0.0"," ","0","0.0","0.0","0.0","0.0"," "," "," "," ","0","0.0","0.0","0.0","0.0",,,
"","","","1001010","T001.AVDD_(Opens)/","TEST - Meas","32","mV","-370.1287","-370.1765","840.3777E-03","-373.8518","-366.8236","","","FALSE","1.33","0","0.66","0","","","","","-498.9774","-240.9570","","","-524.5932","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","26.23466","26.23466","0.0","0.0","10.0","10.0","10.0","10.0","","","","-514.5932","-9.9","","","","","Exempt","28.91825","","","2.397112","2.242086","","","0.0000000008704077392976808%","",""," "," ","0.0"," ","32","0.0","0.0","0.0","0.0"," "," "," "," ","32","0.0","0.0","0.0","0.0",,,
"","","","1001010","T001.AVDD_(Opens)/","TEST - Meas","85","mV","-320.0857","-320.0320","634.1752E-03","-322.0310","-318.7423","","","FALSE","1.33","0","0.66","0","","","","","-430.7747","-208.7452","","","-452.9776","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","22.65388","22.65388","0.0","0.0","10.0","10.0","10.0","10.0","","","","-442.9776","-9.9","","","","","Exempt","32.32386","","","2.399999","2.219843","","","0.0000000013735159062549743%","",""," "," ","0.0"," ","85","0.0","0.0","0.0","0.0"," "," "," "," ","85","0.0","0.0","0.0","0.0",,,
"","","","1001010","T001.AVDD_(Opens)/","TEST - Meas","125","mV","-251.7985","-251.8065","741.1862E-03","-257.2233","-250.3233","","","FALSE","1.33","0","0.66","0","","","","","-340.8067","-163.2519","","","-358.5621","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","17.93310","17.93310","0.0","0.0","10.0","10.0","10.0","10.0","","","","-348.5621","-9.9","","","","","Exempt","24.01159","","","2.399999","2.174716","","","0.0000000034194293220379227%","",""," "," ","0.0"," ","125","0.0","0.0","0.0","0.0"," "," "," "," ","125","0.0","0.0","0.0","0.0",,,
"","","","1001050","T001.SNSP_(Opens)/","TEST - Meas","-40","mV","-737.0451","-737.3103","3.637407","-747.0486","-727.1206","","","FALSE","1.33","0","0.66","0","","","","","-1.009296E+03","-472.0456","","","-1.063021E+03","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","53.15607","53.15607","0.0","0.0","10.0","10.0","10.0","10.0","","","","-1.053021E+03","-9.9","","","","","Exempt","17.10536","","","2.399999","2.325546","","","0.00000000015116338893738856%","",""," "," ","0.0"," ","-40","0.0","0.0","0.0","0.0"," "," "," "," ","-40","0.0","0.0","0.0","0.0",,,
"","","","1001050","T001.SNSP_(Opens)/","TEST - Meas","0","mV","-702.1579","-702.4203","1.839694","-706.8057","-697.132","","","FALSE","1.33","0","0.66","0","","","","","-948.5508","-456.1390","","","-997.7919","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","49.89459","49.89459","0.0","0.0","10.0","10.0","10.0","10.0","","","","-987.7919","-9.9","","","","","Exempt","26.12475","","","2.399999","2.318766","","","0.00000000017466256561030003%","",""," "," ","0.0"," ","0","0.0","0.0","0.0","0.0"," "," "," "," ","0","0.0","0.0","0.0","0.0",,,
"","","","1001050","T001.SNSP_(Opens)/","TEST - Meas","32","mV","-660.0216","-660.1622","1.162780","-663.1605","-655.9387","","","FALSE","1.33","0","0.66","0","","","","","-887.1077","-431.0096","","","-932.2607","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","46.61803","46.61803","0.0","0.0","10.0","10.0","10.0","10.0","","","","-922.2607","-9.9","","","","","Exempt","35.19695","","","2.395993","2.308293","","","0.00000000021817182597594912%","",""," "," ","0.0"," ","32","0.0","0.0","0.0","0.0"," "," "," "," ","32","0.0","0.0","0.0","0.0",,,
"","","","1001050","T001.SNSP_(Opens)/","TEST - Meas","85","mV","-576.0697","-576.081","763.7815E-03","-579.3055","-574.5331","","","FALSE","1.33","0","0.66","0","","","","","-772.2677","-377.1814","","","-811.7763","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","40.59381","40.59381","0.0","0.0","10.0","10.0","10.0","10.0","","","","-801.7763","-9.9","","","","","Exempt","44.89288","","","2.399999","2.298755","","","0.00000000026693538168199785%","",""," "," ","0.0"," ","85","0.0","0.0","0.0","0.0"," "," "," "," ","85","0.0","0.0","0.0","0.0",,,
"","","","1001050","T001.SNSP_(Opens)/","TEST - Meas","125","mV","-509.4129","-509.3965","699.5325E-03","-514.2333","-507.5907","","","FALSE","1.33","0","0.66","0","","","","","-683.1014","-333.4423","","","-718.0673","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","35.90836","35.90836","0.0","0.0","10.0","10.0","10.0","10.0","","","","-708.0673","-9.9","","","","","Exempt","43.58243","","","2.399999","2.285602","","","0.000000000352081497259599%","",""," "," ","0.0"," ","125","0.0","0.0","0.0","0.0"," "," "," "," ","125","0.0","0.0","0.0","0.0",,,
"","","","1001020","T001.SNSN_(Opens)/","TEST - Meas","-40","mV","-655.7816","-655.7368","3.183890","-662.8947","-647.8695","","","FALSE","1.33","0","0.66","0","","","","","-897.5970","-420.2076","","","-945.3359","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","47.27179","47.27179","0.0","0.0","10.0","10.0","10.0","10.0","","","","-935.3359","-9.9","","","","","Exempt","17.27358","","","2.399999","2.31621","","","0.00000000018442507200261707%","",""," "," ","0.0"," ","-40","0.0","0.0","0.0","0.0"," "," "," "," ","-40","0.0","0.0","0.0","0.0",,,
"","","","1001020","T001.SNSN_(Opens)/","TEST - Meas","0","mV","-614.4930","-613.5630","5.762425","-632.7153","-601.5041","","","FALSE","1.33","0","0.66","0","","","","","-863.2599","-382.7462","","","-911.3112","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","45.57056","45.57056","0.0","0.0","10.0","10.0","10.0","10.0","","","","-901.3112","-9.9","","","","","Exempt","12.26971","","","2.399999","2.316754","","","0.0000000001823008510542699%","",""," "," ","0.0"," ","0","0.0","0.0","0.0","0.0"," "," "," "," ","0","0.0","0.0","0.0","0.0",,,
"","","","1001020","T001.SNSN_(Opens)/","TEST - Meas","32","mV","-565.0638","-563.8103","6.082855","-585.4112","-555.2345","","","FALSE","1.33","0","0.66","0","","","","","-800.0760","-348.8540","","","-846.5018","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","42.33009","42.33009","0.0","0.0","10.0","10.0","10.0","10.0","","","","-836.5018","-9.9","","","","","Exempt","11.73851","","","2.411555","2.322907","","","0.00000000015991639057670849%","",""," "," ","0.0"," ","32","0.0","0.0","0.0","0.0"," "," "," "," ","32","0.0","0.0","0.0","0.0",,,
"","","","1001020","T001.SNSN_(Opens)/","TEST - Meas","85","mV","-489.9587","-488.3959","6.479667","-508.3220","-481.0445","","","FALSE","1.33","0","0.66","0","","","","","-703.3529","-297.7133","","","-743.9167","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","37.20083","37.20083","0.0","0.0","10.0","10.0","10.0","10.0","","","","-733.9167","-9.9","","","","","Exempt","10.70689","","","2.399998","2.301389","","","0.0000000002524942728563329%","",""," "," ","0.0"," ","85","0.0","0.0","0.0","0.0"," "," "," "," ","85","0.0","0.0","0.0","0.0",,,
"","","","1001020","T001.SNSN_(Opens)/","TEST - Meas","125","mV","-439.4146","-437.9034","6.709338","-457.3137","-429.8427","","","FALSE","1.33","0","0.66","0","","","","","-637.9620","-263.4446","","","-675.4136","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","33.77568","33.77568","0.0","0.0","10.0","10.0","10.0","10.0","","","","-665.4136","-9.9","","","","","Exempt","10.19700","","","2.399999","2.293194","","","0.0000000003001368250445757%","",""," "," ","0.0"," ","125","0.0","0.0","0.0","0.0"," "," "," "," ","125","0.0","0.0","0.0","0.0",,,
"","","","1001170","T001.PGOOD_(Opens)/","TEST - Meas","-40","mV","-567.3248","-567.5343","7.564795","-584.5607","-546.9608","","","FALSE","1.33","0","0.66","0","","","","","-814.9091","-344.4778","","","-879.8514","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","43.99757","43.99757","0.0","0.0","10.0","10.0","10.0","10.0","","","","-869.8514","-9.9","","","","","Exempt","12.45474","","","2.552194","2.467165","","","0.000000000006732849347452286%","",""," "," ","0.0"," ","-40","0.0","0.0","0.0","0.0"," "," "," "," ","-40","0.0","0.0","0.0","0.0",,,
"","","","1001170","T001.PGOOD_(Opens)/","TEST - Meas","0","mV","-481.6894","-481.2415","6.968676","-498.0099","-466.4724","","","FALSE","1.33","0","0.66","0","","","","","-696.2569","-290.3190","","","-736.8507","100.0E-03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","36.84753","36.84753","0.0","0.0","10.0","10.0","10.0","10.0","","","","-726.8507","-9.9","","","","","Exempt","10.37983","","","2.399999","2.301462","","","0.00000000025210276195469647%","",""," "," ","0.0"," ","0","0.0","0.0","0.0","0.0"," "," "," "," ","0","0.0","0.0","0.0","0.0",,,
