"","","","LG_Char","0.51"
"","","","GBD Version","4.01.2591","","","","","Temp","Limits Method"
"","","","Date","06-Feb-22 11:52:48 PM (PST)","","","","","32","Guaranteed By Design"
"","","","Die Type","VK78A-0B","","","","","",""
"","","","Product","Wafer Sort","","","","","",""
"","","","Lot Number","","","","","","",""
"","","","Wafer Number","","","","","","",""
"","","","Engineer","","","","","","",""
"","","","Approved By","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","TestType","","","Mean","Median","StDev","Min","Max","","NoScale","PD","SD","OD","SU","OU","NSigDown","NSigUp","GBDMinck","GBDMaxck","GBDMin","GBDMax","TesterLow","TesterHigh","LimitOverrideLow","LimitOverrideHigh","ECMinInput","ECMaxInput","GBCalcType","GBCalcTester","GBCalcComp","GBCalcGage1","GBCalcGage2","GBCalcCorrTar","GBCalcCorrDeltaMin","GBCalcCorrDeltaMax","GBCalcIns","GBCalcSupplyMean","GBCorrReq","GBCalcBlank","GBTestType","LimitsMethod","GBTempReq","GBTempMeansTested","GBTempMeanMin","GBTempMeanMax","GBTempDriftNeg","GBTempDriftPos","GBTempSigmaDriftMin","GBTempSigmaDriftMax","GBTempSigmaMin","GBTempSigmaMax","GBResCalcGage","GBTempValidDriftNeg","GBTempValidDriftPos","GBTempECShiftMin","GBTempECShiftMax","GBUncertaintyMin","GBUncertaintyMax","GBResDefMin","GBResDefMax","GBResCalcMinTotal","GBResCalcMaxTotal","GBResUserLow","GBResUserHigh","GBResAppLow","GBResAppHigh","CalcEC","ECMinOutput","ECMaxOutput","FTMin","FTMax","FTSPFOnlyMin","FTSPFOnlyMax","FTSPFMin","FTSPFMax","","SigmaP","SigmaD","GBDPassedMethod","","","","","","dB","Group"
"","","","Test #","Test Name","Test Type","Temp","Unit","Mean","Median","Standard Deviation","Min","Max","","Default Scales?","Process Dependent","Scale (Down)","Offset (Down)","Scale (Up)","Offset (Up)","N Sigma (Down)","N Sigma (Up)","GBD No Scale Min","GBD No Scale Max","GBD Min","GBD Max","EC/QA Low Limit (from tester)","EC/QA High Limit (from tester)","EC/QA Low Limit (Override)","EC/QA High Limit (Override)","EC / QA Min (Input)","EC / QA Max (Input)","GB Type","Tester Accuracy","HW Component Accuracy","T2T Gage or Combined Gage Sigma","B2B Gage Sigma","Correlation Target","Correlation Delta Min","Correlation Delta Max","Insertion Repeatability","Supply Mean Shift","Correlation Components Required?","Calculation Blank?","GB Test Type?","Limits Method","Temperature Components Required?","Means of Temperatures tested","Temperature Mean Shift (Min)","Temperature Mean Shift (Max)","NegDrift","PosDrift","Temperature Sigma Drift","Temperature Sigma Drift","Temperature Sigma Shift (Min)","Temperature Sigma Shift (Max)","Calculated Gage Components","Valid NegDrift","Valid PosDrift","EC Shift (Min)","EC Shift (Max)","Uncertainty GB (Min)","Uncertainty GB (Max)","Default Guardband (Min)","Default Guardband (Max)","Calculated Guardband (Min)","Calculated Guardband (Max)","Override Guardband (Min)","Override Guardband (Max)","Applied Guardband (Min)","Applied Guardband (Max)","Calc EC?","EC / QA Min (Output)","EC / QA Max (Output)","FT Min","FT Max","(For Calc Only) SPF (Min)","(For Calc Only) SPF (Max)","(For Calc Only) FT SPF (Min)","(For Calc Only) FT SPF (Min)","QA
GBD
Flag","Population Sigmas Passed","Drift Sigmas Passed","Passed GBD by Method","QA CPK","FT CPK","FT CP Low","FT CP High","Yield Loss","","","Data Sheet Parameter","Notes","","","Sigma T Max","Sigma TSPF Max","Sigma T","32","","Neg Mean Drift","Pos Mean Drift","Drift Temp","32"
"","","","1000010","X_coordinate/","PROD - EC","32","one","31.96400","32.0","16.28270","1.0","64.0","","","TRUE","1","0","1","0","","","","","-65.73220","129.6602","","","-340.282e27","340.2824e27","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","34.02824e27","34.02824e27","0.0","0.0","","","34.02824e27","34.02824e27","","","","-306.254e27","306.2541e27","","","","","Fail","20.89840e27","","","6.966132e27","6.269519e27","","","0%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1000020","Y_coordinate/","PROD - EC","32","one","4.193346","4.0","19.33549","-34.0","42.0","","","TRUE","1","0","1","0","","","","","-111.8196","120.2063","","","-340.282e27","340.2824e27","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","34.02824e27","34.02824e27","0.0","0.0","","","34.02824e27","34.02824e27","","","","-306.254e27","306.2541e27","","","","","Fail","17.59884e27","","","5.866281e27","5.279653e27","","","0%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1000030","Wafer_ID/","PROD - EC","32","one","7.0","7.0","0.0","7.0","7.0","","","TRUE","1","0","1","0","","","","","7.0","7.0","","","-340.282e27","340.2824e27","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","34.02824e27","34.02824e27","0.0","0.0","","","34.02824e27","34.02824e27","","","","-306.254e27","306.2541e27","","","","","Fail","","","","","","","","","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1000040","Lot_ID/","PROD - EC","32","one","1.0","1.0","0.0","1.0","1.0","","","TRUE","1","0","1","0","","","","","1.0","1.0","","","-340.282e27","340.2824e27","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","34.02824e27","34.02824e27","0.0","0.0","","","34.02824e27","34.02824e27","","","","-306.254e27","306.2541e27","","","","","Fail","","","","","","","","","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001010","T001.AVDD_(Opens)/","PROD - EC","32","mV","-359.4478","-358.2090","8.264205","-580.2113","-353.5209","","","TRUE","1.33","0","0.66","0","","","","","-544.0139","-204.5092","","","-637.9619","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","36.89809","36.89809","0.0","0.0","","","36.89809","36.89809","","","","-601.0638","63.10190","","","","","Pass","14.54741","","","3.106883","2.672154","","","0.000000000000054416502728307603%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001050","T001.SNSP_(Opens)/","PROD - EC","32","mV","-662.6054","-658.9722","13.36561","-796.6445","-652.9715","","","TRUE","1.33","0","0.66","0","","","","","-987.9227","-384.3917","","","-1.0E+03","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","55.0","55.0","0.0","0.0","","","55.0","55.0","","","","-945.0","45.0","","","","","Pass","6.679400","","","2.080043","1.715522","","","0.00001326486220629286%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001020","T001.SNSN_(Opens)/","PROD - EC","32","mV","-556.7765","-551.5103","20.80801","-796.8817","-536.5685","","","TRUE","1.33","0","0.66","0","","","","","-906.5608","-285.0728","","","-1.0E+03","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","55.0","55.0","0.0","0.0","","","55.0","55.0","","","","-945.0","45.0","","","","","Pass","9.376344","","","2.601390","2.247400","","","0.0000000007800157205347771%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001170","T001.PGOOD_(Opens)/","PROD - EC","32","mV","-412.0469","-407.8252","21.05183","-792.0857","-388.7465","","","TRUE","1.33","0","0.66","0","","","","","-716.0160","-188.5856","","","-800.0","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","45.0","45.0","0.0","0.0","","","45.0","45.0","","","","-755.0","55.0","","","","","Pass","8.999540","","","2.636929","2.295652","","","0.00000000028499413941611533%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001030","T001.VCC_(Opens)/","PROD - EC","32","mV","-338.5764","-337.0502","12.09147","-733.3241","-332.1474","","","TRUE","1.33","0","0.66","0","","","","","-546.7965","-175.5782","","","-600.0","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","35.0","35.0","0.0","0.0","","","35.0","35.0","","","","-565.0","65.0","","","","","Pass","9.308328","","","2.573284","2.196147","","","0.00000000222231574542558%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001110","T001.BST_(Opens)/","PROD - EC","32","mV","-230.7312","-225.6434","32.33071","-539.3650","-211.6572","","","TRUE","1.33","0","0.66","0","","","","","-564.8716","-24.25300","","","-638.5299","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","36.92649","36.92649","0.0","0.0","","","36.92649","36.92649","","","","-601.6034","63.07350","","","","","Pass","7.712990","","","2.544993","2.271776","","","0.0000000004703406422511305%","",""," "," "," "," ","32"," "," "," "," ","32",,,
